Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1.00,USA,104196861.00,1132935.00,101322779.00,1741147.00,1159832679.00,334805269.00
2.00,India,44682784.00,530740.00,44150289.00,1755.00,915265788.00,1406631776.00
3.00,France,39524311.00,164233.00,39264546.00,95532.00,271490188.00,65584518.00
4.00,Germany,37779833.00,165711.00,37398100.00,216022.00,122332384.00,83883596.00
5.00,Brazil,36824580.00,697074.00,35919372.00,208134.00,63776166.00,215353593.00
6.00,Japan,32588442.00,68399.00,21567425.00,10952618.00,92144639.00,125584838.00
7.00,S. Korea,30197066.00,33486.00,29740877.00,422703.00,15804065.00,51329899.00
8.00,Italy,25453789.00,186833.00,25014986.00,251970.00,265478247.00,60262770.00
9.00,UK,24274361.00,204171.00,24020088.00,50102.00,522526476.00,68497907.00
10.00,Russia,21958696.00,395108.00,21356008.00,207580.00,273400000.00,145805947.00
11.00,Turkey,17042722.00,101492.00,0.00,0.00,162743369.00,85561976.00
12.00,Spain,13731478.00,118434.00,13557699.00,55345.00,471036328.00,46719142.00
13.00,Vietnam,11526508.00,43186.00,10612479.00,870843.00,85826548.00,98953541.00
14.00,Australia,11295446.00,18615.00,11235771.00,41060.00,78835048.00,26068792.00
15.00,Argentina,10037135.00,130421.00,9877032.00,29682.00,35716069.00,46010234.00
16.00,Taiwan,9569611.00,16356.00,9129766.00,423489.00,30207485.00,23888595.00
17.00,Netherlands,8582500.00,22989.00,8547771.00,11740.00,25984435.00,17211447.00
18.00,Iran,7564350.00,144749.00,7337549.00,82052.00,54420785.00,86022837.00
19.00,Mexico,7368252.00,332198.00,6606633.00,429421.00,19356195.00,131562772.00
20.00,Indonesia,6730289.00,160817.00,6565208.00,4264.00,114158919.00,279134505.00
21.00,Poland,6380225.00,118736.00,5335940.00,925549.00,38118630.00,37739785.00
22.00,Colombia,6356309.00,142486.00,6179501.00,34322.00,36951507.00,51512762.00
23.00,Austria,5780229.00,21689.00,5730189.00,28351.00,211273524.00,9066710.00
24.00,Greece,5708301.00,35630.00,5662212.00,10459.00,102228365.00,10316637.00
25.00,Portugal,5563907.00,26022.00,5532366.00,5519.00,45915651.00,10140570.00
26.00,Ukraine,5370131.00,111020.00,5253302.00,5809.00,32603805.00,43192122.00
27.00,Chile,5118981.00,63812.00,5051555.00,3614.00,48127301.00,19250195.00
28.00,Malaysia,5036593.00,36942.00,4989861.00,9790.00,67665089.00,33181072.00
29.00,Israel,4786189.00,12193.00,4768242.00,5754.00,41373364.00,9326000.00
30.00,DPRK,4772813.00,74.00,4772739.00,0.00,0.00,25990679.00
31.00,Thailand,4726984.00,33865.00,4692636.00,483.00,17270775.00,70078203.00
32.00,Belgium,4691499.00,33557.00,4644681.00,13261.00,36548544.00,11668278.00
33.00,Czechia,4590019.00,42312.00,4538304.00,9403.00,56893223.00,10736784.00
34.00,Canada,4550256.00,50380.00,4444013.00,55863.00,66343123.00,38388419.00
35.00,Peru,4481621.00,218931.00,4258688.00,4002.00,37754603.00,33684208.00
36.00,Switzerland,4385701.00,14452.00,4366770.00,4479.00,23318743.00,8773637.00
37.00,Philippines,4073454.00,65802.00,3998048.00,9604.00,34343332.00,112508994.00
38.00,South Africa,4055966.00,102595.00,3912506.00,40865.00,26473049.00,60756135.00
39.00,Romania,3325006.00,67576.00,3252104.00,5326.00,26389988.00,19031335.00
40.00,Denmark,3173247.00,8145.00,3163849.00,1253.00,129144754.00,5834950.00
41.00,Hong Kong,2877280.00,13358.00,2509483.00,354439.00,76123870.00,7604299.00
42.00,Sweden,2693458.00,23246.00,2658039.00,12173.00,19410527.00,10218971.00
43.00,Serbia,2471198.00,17701.00,2440527.00,12970.00,12154486.00,8653016.00
44.00,Iraq,2465545.00,25375.00,2439497.00,673.00,19544451.00,42164965.00
45.00,Singapore,2217110.00,1722.00,2144490.00,70898.00,24756666.00,5943546.00
46.00,Hungary,2192447.00,48677.00,2139857.00,3913.00,11394556.00,9606259.00
47.00,New Zealand,2182355.00,3781.00,2169320.00,9254.00,7710637.00,4898203.00
48.00,Bangladesh,2037556.00,29442.00,1992694.00,15420.00,15247014.00,167885689.00
49.00,Slovakia,1860893.00,20946.00,1839309.00,638.00,7390781.00,5460193.00
50.00,Georgia,1814180.00,16926.00,1776548.00,20706.00,16920079.00,3968738.00
51.00,Jordan,1746997.00,14122.00,1731007.00,1868.00,17201885.00,10300869.00
52.00,Ireland,1700253.00,8462.00,1685183.00,6608.00,12984257.00,5020199.00
53.00,Pakistan,1576313.00,30640.00,1538689.00,6984.00,30570862.00,229488994.00
54.00,Norway,1477856.00,5112.00,1471835.00,909.00,11002430.00,5511370.00
55.00,Finland,1458619.00,8639.00,1447569.00,2411.00,12017711.00,5554960.00
56.00,Kazakhstan,1405917.00,13695.00,1383020.00,9202.00,11575012.00,19205043.00
57.00,Slovenia,1321852.00,7056.00,1311159.00,3637.00,2824843.00,2078034.00
58.00,Lithuania,1296865.00,9545.00,1282528.00,4792.00,10350770.00,2661708.00
59.00,Bulgaria,1295426.00,38179.00,1254491.00,2756.00,10987749.00,6844597.00
60.00,Morocco,1272240.00,16296.00,1255881.00,63.00,12930733.00,37772756.00
61.00,Croatia,1267580.00,17877.00,1249168.00,535.00,5476183.00,4059286.00
62.00,Lebanon,1228639.00,10790.00,1087587.00,130262.00,4795578.00,6684849.00
63.00,Guatemala,1227853.00,20106.00,1204545.00,3202.00,6757892.00,18584039.00
64.00,Bolivia,1187986.00,22346.00,1146143.00,19497.00,2705422.00,11992656.00
65.00,Costa Rica,1186176.00,9158.00,860711.00,316307.00,4659757.00,5182354.00
66.00,Tunisia,1150356.00,29308.00,0.00,0.00,4997373.00,12046656.00
67.00,Cuba,1112438.00,8530.00,1103799.00,109.00,14298479.00,11305652.00
68.00,Ecuador,1051239.00,35942.00,1011682.00,3615.00,3082403.00,18113361.00
69.00,UAE,1049409.00,2348.00,1032735.00,14326.00,198638806.00,10081785.00
70.00,Uruguay,1032710.00,7609.00,1023939.00,1162.00,6114822.00,3496016.00
71.00,Panama,1029701.00,8596.00,1020206.00,899.00,7475016.00,4446964.00
72.00,Mongolia,1007871.00,2179.00,1005658.00,34.00,4030048.00,3378078.00
73.00,Nepal,1001102.00,12020.00,989064.00,18.00,6003944.00,30225582.00
74.00,Belarus,994037.00,7118.00,985592.00,1327.00,13646641.00,9432800.00
75.00,Latvia,975355.00,6218.00,968830.00,307.00,7858319.00,1848837.00
76.00,Saudi Arabia,827962.00,9574.00,815528.00,2860.00,45048008.00,35844909.00
77.00,Azerbaijan,827944.00,10085.00,817654.00,205.00,7487550.00,10300205.00
78.00,Paraguay,806256.00,19820.00,0.00,0.00,2657506.00,7305843.00
79.00,Bahrain,700452.00,1543.00,698400.00,509.00,10682444.00,1783983.00
80.00,Sri Lanka,671989.00,16828.00,655158.00,3.00,6486117.00,21575842.00
81.00,Kuwait,662858.00,2570.00,660237.00,51.00,8455743.00,4380326.00
